"ID";"Nome";"Logradouro";"Município";"UF";"CEP";"Termo.Convênio";"Valor.Pactuado.pelo.FNDE";"valor_gasto";"situacao"
1009383;"8-Povoado-Monte-Alegre - Bequimão - MA";"Rua da Nova Escola";"Bequimão";"MA";65248000;"22451/2014";893102,42;378637,045228922;"atrasada"
1009393;"POVOADO MUTUM - Cândido Mendes - MA";"Rua Principal";"Cândido Mendes";"MA";65280000;"22529/2014";1021765,31;123767,024798514;"atrasada"
1009394;"LOTEAMENTO VILA BOM JESUS - Cândido Mendes - MA";"AVENIDA PRINCIPAL";"Cândido Mendes";"MA";65280000;"22529/2014";915465,35;166336,284170124;"atrasada"
1009396;"21095396 / UNIDADE ESCOLAR SANTA TEREZA - Cidelândia - MA";"Rua Principal";"Cidelândia";"MA";65921000;"22533/2014";934257,36;316867,983059459;"atrasada"
1009398;"21201293 / UNIDADE INTEGRADA JOAO PALMEIRA - Cidelândia - MA";"AV. 21 DE SETEMBRO";"Cidelândia";"MA";65921000;"22533/2014";934257,36;679002,815650387;"atrasada"
1009403;"RUA 7 DE SETEMBRO - Governador Edison Lobão - MA";"POVOADO BANANAL";"Governador Edison Lobão";"MA";65928000;"22541/2014";1018584,73;491676,321785502;"atrasada"
1009418;"E.M POVOADO FILIPA - Itapecuru Mirim - MA";"POVOADO FILIPA";"Itapecuru Mirim";"MA";65485000;"22572/2014";1021793,5;247540,881361816;"atrasada"
1009427;"Povoado Vila Paraense - Junco do Maranhão - MA";"Rua Principal";"Junco do Maranhão";"MA";65294000;"22583/2014";244835,53;88971,1993548514;"atrasada"
1009428;"Povoado Jutaitíua - Junco do Maranhão - MA";"Rua da Escola";"Junco do Maranhão";"MA";65294000;"22583/2014";244233,15;59168,2068918745;"atrasada"
1009430;"Itans - Matinha - MA";"Av, Principal";"Matinha";"MA";65218000;"22596/2014";1021918,06;272328,171390347;"atrasada"
1009434;"CURVA II - Matões do Norte - MA";"POVOADO CURVA II";"Matões do Norte";"MA";65468000;"22598/2014";1021793,5;940655,361287959;"atrasada"
1009439;"POV. SÃO PEDRO - Palmeirândia - MA";"RUA PRINCIPAL";"Palmeirândia";"MA";65238000;"22611/2014";1022500,48;433496,273950215;"atrasada"
1009440;"UNIDADE INTEGRADA EVILÁSIO MENDES - Pedro do Rosário - MA";"RIO DOS PEIXES";"Pedro do Rosário";"MA";65206000;"22612/2014";1021956;247580,248800757;"atrasada"
1009441;"Pov Piranhas - Peritoró - MA";"Zona rural";"Peritoró";"MA";65418970;"22614/2014";913786,18;553437,243979898;"atrasada"
1009442;"Pov Santa Rita - Peritoró - MA";"RUA PRINCIPAL DO POVOADO";"Peritoró";"MA";65418970;"22614/2014";913786,16;553437,243979898;"atrasada"
1009443;"COCO - Pinheiro - MA";"RUA PRINCIPAL DO POVOADO";"Pinheiro";"MA";65200000;"22616/2014";927426,9;168509,64539999;"atrasada"
1009444;"NOVA PONTA BRACA - Pinheiro - MA";"RUA DA ESCOLA";"Pinheiro";"MA";65200000;"22616/2014";927425,9;168509,463704118;"atrasada"
1009445;"CUBA - Pinheiro - MA";"RUA DO PORTO";"Pinheiro";"MA";65200000;"22616/2014";927426,9;168509,64539999;"atrasada"
1009446;"BANDEIRA BRANCA - Pinheiro - MA";"RUA PROJETADA";"Pinheiro";"MA";65200000;"22616/2014";1021954,87;247579,97020042;"atrasada"
1009447;"COTOVELO - Pinheiro - MA";"RUA DA ESCOLA";"Pinheiro";"MA";65200000;"22616/2014";927426,9;168509,64539999;"atrasada"
1009448;"URUCUZAL - Pinheiro - MA";"RUA DA ESCOLA";"Pinheiro";"MA";65200000;"22616/2014";1021954,87;272337,970854379;"atrasada"
1009455;"EM JOSÉ CARDOSO DE OLIVEIRA - Presidente Juscelino - MA";NA;"Presidente Juscelino";"MA";NA;"22639/2014";913786,16;553437,243979898;"atrasada"
1009458;"Escola Deraldo da Silva Dourado - Ibititá - BA";"Povoado de Batatas";"Ibititá";"BA";44960000;"19628/2014";1021467,9;705266,699578708;"atrasada"
1009460;"ESCOLA MUNICIPAL AGOSTINHO RIBEIRO DA FONCESCA - Cafarnaum - BA";"POV DE LAGOA DE AGOSTINHO";"Cafarnaum";"BA";44880000;"19615/2014";923871,9;637882,096335924;"atrasada"
1009463;"Escola Muncipal Manoel Lourenço da Rocha - Central - BA";"Povoado  de Traíras";"Central";"BA";44940000;"19622/2014";244263,67;59175,5958573373;"atrasada"
1009472;"E.M BACURI DO LAJES - Carolina - MA";"ESTRADA VICINAL 09";"Carolina";"MA";65980000;"22531/2014";244090,13;147833,89069443;"atrasada"
1009475;"Povoado Areal - Maranhãozinho - MA";"Estrada Vicinal";"Maranhãozinho";"MA";65283000;"22594/2014";1019508,9;679215,375594551;"atrasada"
1009478;"E. M. DO POVOADO SAO ROQUE - Milagres do Maranhão - MA";"POVOADO SAO ROQUE";"Milagres do Maranhão";"MA";65545000;"22599/2014";1022226,14;507673,662160403;"atrasada"
1009481;"Barreiras - Santa Quitéria do Maranhão - MA";"Pov. Barreiras";"Santa Quitéria do Maranhão";"MA";65540000;"22646/2014";913786,16;442749,790338695;"atrasada"
1009482;"Japão - Santa Quitéria do Maranhão - MA";"Pov. Japão";"Santa Quitéria do Maranhão";"MA";65540000;"22646/2014";236523,79;229202,123188476;"atrasada"
1009483;"Guaribas III - UE Sto Antonio - Santa Quitéria do Maranhão - MA";"Pov. Guaribas III";"Santa Quitéria do Maranhão";"MA";65540000;"22646/2014";236523,79;42975,3980978392;"atrasada"
1009484;"Boa União - Santa Quitéria do Maranhão - MA";"RUA PROJETADA - POVOADO BOA UNIÃO";"Santa Quitéria do Maranhão";"MA";65540000;"22646/2014";1022226,14;185734,268712133;"atrasada"
1009485;"Barra do Sitio I - Santa Quitéria do Maranhão - MA";"Pov. Barra do Sitio I";"Santa Quitéria do Maranhão";"MA";65540000;"22646/2014";913786,16;387406,063518093;"atrasada"
1009486;"E.M. POVOADO BAIRRO VERMELHO - Santa Inês - MA";"RUA DO CAMPO";"Santa Inês";"MA";65300000;"22643/2014";1021997,1;482800,890280609;"atrasada"
1009492;"Lagoa da Esperança - Santo Amaro do Maranhão - MA";"POVOADO LAGOA DA ESPERANÇA";"Santo Amaro do Maranhão";"MA";65195000;"22650/2014";244872;133476,694730265;"atrasada"
1009493;"Cocal - Santo Amaro do Maranhão - MA";"POVOADO COCAL";"Santo Amaro do Maranhão";"MA";65195000;"22650/2014";1021956;618950,622001892;"atrasada"
1009494;"Ponta Verde - Santo Amaro do Maranhão - MA";"POVOADO PÓNTA VERDE ";"Santo Amaro do Maranhão";"MA";65195000;"22650/2014";244872;124578,248414914;"atrasada"
1009495;"Travosa I - Santo Amaro do Maranhão - MA";"Travosa I";"Santo Amaro do Maranhão";"MA";65195000;"22650/2014";1021956;492313,323286738;"atrasada"
1009496;"Bebedouro - Santo Amaro do Maranhão - MA";"POVOADO BEBEDOURO ";"Santo Amaro do Maranhão";"MA";65195000;"22650/2014";244872;148307,438589183;"atrasada"
1009738;"BELA VISTA - Sátiro Dias - BA";"RUA DAS FLORES";"Sátiro Dias";"BA";48485000;"19723/2014";1018545,81;814288,498708741;"atrasada"
1009748;"POV. QUINTO BRAÇO - Zé Doca - MA";"AV JOSÉ SARNEY";"Zé Doca";"MA";65365000;"22687/2014";1022226,14;210498,84675666;"atrasada"
1009751;"ESCOLA MUNICIPAL MONSENHOR DOMINGOS - Divinolândia de Minas - MG";"Corrego Santa Cruz";"Divinolândia de Minas";"MG";39735000;"19579/2014";837424,7;841933,259151463;"atrasada"
1009774;"escola cajuru - São João del Rei - MG";"distrito cajuru";"São João del Rei";"MG";36300000;"19651/2014";886320,18;53680,2405468378;"atrasada"
1009782;"Escola PA Santo Antônio - Vila Rica - MT";"PA Santo Antônio";"Vila Rica";"MT";78645000;"22552/2014";937782,58;111942,595250371;"atrasada"
1009798;"MARIA DA CONCEIÇÃO LOPES DE BARROS - Limoeiro do Ajuru - PA";"RUA PROJETADA";"Limoeiro do Ajuru";"PA";68415000;"22314/2014";864104,8;366343,308718158;"atrasada"
1009799;"Vila do Emílio - Melgaço - PA";"Rio Anapu - Estreito do Anapu";"Melgaço";"PA";68490000;"23604/2014";1021722,39;1167213,92956002;"atrasada"
1009800;"MARAJÓ - Melgaço - PA";"Rio Anapu";"Melgaço";"PA";68490000;"23604/2014";1021722,39;1167213,94133732;"atrasada"
1009801;"Bulico - Melgaço - PA";"Rio Pracupijó";"Melgaço";"PA";68490000;"23604/2014";1021722,39;721988,003493933;"atrasada"
1009802;"Pedreira - Melgaço - PA";"Rio Anapu";"Melgaço";"PA";68490000;"23604/2014";228455,18;121076,366048014;"atrasada"
1009803;"ASSOCIAÇÃO - Melgaço - PA";"Rio Caxiuanã - Flona Caxiuanã";"Melgaço";"PA";68490000;"23604/2014";228455,18;161435,142953383;"atrasada"
1009804;"Vila Pimental - Melgaço - PA";"Rio Laguna";"Melgaço";"PA";68490000;"23604/2014";1021722,39;782153,67045176;"atrasada"
1009807;"FAZENDINHA - Oeiras do Pará - PA";"RIO ARIOCA";"Oeiras do Pará";"PA";68470000;"22321/2014";1023826,24;124016,662813631;"atrasada"
1009831;"Aldrovando  Santana - Santana do Livramento - RS";"Passo das Pedras";"Santana do Livramento";"RS";97570000;"19901/2014";218638,65;31780,5945603132;"atrasada"
1009886;"NOVA ESCOLA PIRITUBA - Vitória de Santo Antão - PE";"RUA NUNES MACHADO";"Vitória de Santo Antão";"PE";55618970;"22621/2014";3533221,28;636876,705492785;"atrasada"
1009887;"Escola Nova Salinas - Campo Maior - PI";"Localidade Salinas";"Campo Maior";"PI";64280000;"22635/2014";244871,99;100937,603399006;"atrasada"
1009902;"Assentamento Pontal das Estrelas - Araguaçu - TO";"To 373";"Araguaçu";"TO";77475000;"19824/2014";936726,39;714837,142020248;"atrasada"
1009930;"TANQUE NOVO - Novo Triunfo - BA";"POVOADO TANQUE NOVO";"Novo Triunfo";"BA";48455000;"19680/2014";942070,42;741737,99111063;"atrasada"
1009947;"4-Povoado-Terra-Dura - São Francisco do Maranhão - MA";"Estrada Vicinal";"São Francisco do Maranhão";"MA";65650970;"22660/2014";244855,61;59319,0023526048;"atrasada"
1009948;"1-Povoado-Boa Esperança - São Francisco do Maranhão - MA";"Estrada Vicinal";"São Francisco do Maranhão";"MA";65650970;"22660/2014";244855,61;59319,0023526048;"atrasada"
1009949;"2-Povoado-Lagoa-do-Luizão - São Francisco do Maranhão - MA";"Estrada Principal da Lagoa";"São Francisco do Maranhão";"MA";65650970;"22660/2014";244855,61;59319,0023526048;"atrasada"
1009950;"Povoado Várzea - Sucupira do Norte - MA";"Rua Ceará";"Sucupira do Norte";"MA";65860000;"22674/2014";1021869,45;668410,067441375;"atrasada"
1009951;"POV EBENÉZIA - Zé Doca - MA";"RUA DO POSTO";"Zé Doca";"MA";65365000;"22688/2014";3532929,86;641918,772959617;"atrasada"
1009955;"Pindaíba - Patis - MG";"Povoado de Pindaíba do Arroz";"Patis";"MG";39425000;"19635/2014";907104,84;384573,485438371;"atrasada"
1009964;"CONSTRUÇÃO DA E M E F SÃO LÁZARO - Bujaru - PA";"COMUNIDADE SÃO LÁZARO TRAQUATEUA";"Bujaru";"PA";68670000;"23561/2014";131883,92;82321,551696202;"atrasada"
1009974;"EMEF DOM PEDRO ll - Medicilândia - PA";"Travessão do Km 110 Sul";"Medicilândia";"PA";68145000;"22319/2014";245021,05;59359,0844619755;"atrasada"
1010014;"Cedro - Chaves - PA";"Rio Jurara";"Chaves";"PA";68880000;"23564/2014";132817,96;31284,7424925652;"atrasada"
1010021;"Clara Santos - Chaves - PA";"Rio Cururu Vila Boa Esperança";"Chaves";"PA";68880000;"23564/2014";133015,16;31331,1921721418;"atrasada"
1010022;"Coatá - Chaves - PA";"Rio Coatá";"Chaves";"PA";68880000;"23564/2014";132125,68;31121,6857446596;"atrasada"
1010023;"Kaloal - Chaves - PA";"Rio Kaloal";"Chaves";"PA";68880000;"23564/2014";133220,22;31379,490888152;"atrasada"
1010024;"Nossa Senhora De Belem - Chaves - PA";"Ilha Nova";"Chaves";"PA";68880000;"23564/2014";132878,82;31299,0754692499;"atrasada"
1010025;"Cajueiro - Chaves - PA";"Rio Cajueiro";"Chaves";"PA";68880000;"23564/2014";132650,26;40618,8197362651;"atrasada"
1010026;"Apaiari - Chaves - PA";"Rio Apaiari";"Chaves";"PA";68880000;"23564/2014";133042,25;54840,7600166383;"atrasada"
1010028;"Baculandia - Chaves - PA";"Rio Baculandia";"Chaves";"PA";68880000;"23564/2014";133128,77;31357,9502025674;"atrasada"
1010030;"Martiniano Foro - Chaves - PA";"Rio Cururu";"Chaves";"PA";68880000;"23564/2014";133165,58;31366,6300742327;"atrasada"
1010033;"Limão Grande - Chaves - PA";"Rio Limão Grande - Ilha Mexiana";"Chaves";"PA";68880000;"23564/2014";133193,38;31373,1782542136;"atrasada"
